SENTENCE	FULL_CONTEXT	SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
- Is he lucky I'm off the market or what?	I melt at least 3 times a week. <i> - Is he lucky I'm off the market or what? </i> - They wouldn't even look at him.	off the market	2	145382	214	US	2000			
Kip, man, we gonna use a brick, man, we might as well call prison and make reservations.	That's a damn brick. <i> Kip, man, we gonna use a brick, man, we might as well call prison and make reservations. </i> Aw, come on.	brick	2	135737	62	US	2000			
- Maybe we should cut you up, dog?	Oh, so now you think you're better than us or something, huh? <i> - Maybe we should cut you up, dog? </i> - Um...	cut	1	135737	1687	US	2000			
If anything tonight appears out of place, I want you to cut bait, get out of there and walk away.	He's sniffîn' real close. <i> If anything tonight appears out of place, I want you to cut bait, get out of there and walk away. </i> And get rid of this goddam car!	cut bait	3	135737	1260	US	2000			
What the-- listen, you little shit, whatever the fuck your name is, if you expect to come back here tomorrow and have a job--	Are you fucking kidding me? <i> What the-- listen, you little shit, whatever the fuck your name is, if you expect to come back here tomorrow and have a job-- </i> Hey, not funny!	little shit	1	4218973	482	US	2011			
Yo, man, know where I can find JTRO?	"I'll never play"" Beat-Beat Revelation"" again! <i> Yo, man, know where I can find JTRO? </i> Thanks."	yo	1	4574956	218	US	2011			
He's gonna jump off that tape and tell you exactly who he is.	And you know what? <i> He's gonna jump off that tape and tell you exactly who he is. </i> And there is no way that you will ever stop him.	gonna	1	4218973	893	US	2011			
Then, soccer hunks, lacrosse studs, fraternity presidents-- ohh-- fraternity keg-masters, guys with cars with parking passes, guys with cars kind of a waste of time--[ Man]	are basketball players-- smaller biceps <i> Then, soccer hunks, lacrosse studs, fraternity presidents-- ohh-- fraternity keg-masters, guys with cars with parking passes, guys with cars kind of a waste of time--[ Man] </i> Black Student Union activists-	hunks	1	186160	866	US	2004			
She's gonna be great on game day?	Oh, really? <i> She's gonna be great on game day? </i> To be a great cheerleader you have to make sacrifices:	gonna	1	186160	603	US	2004			
So, it was a chance, their last chance,,..... to drag themselves up on the coat-tails of my band, really.	"And we were saying"" No, fuck that."" <i> So, it was a chance, their last chance,,..... to drag themselves up on the coat-tails of my band, really. </i> And, you know, the NME losing readers by the thousands every week..."	fuck	1	4030209	535	UK	2003			
But it were hyped up that much,..... that they couldn't live up to what everyone were expecting' em to do.	I thought there were some great tracks on it. <i> But it were hyped up that much,..... that they couldn't live up to what everyone were expecting' em to do. </i> It ruins' em.	'em	2	4030209	1140	UK	2003	"a short or slang way of saying ""them"""	https://www.urbandictionary.com/define.php?term=%27em	them
You're just a Londoner who thinks he's a big man.	- I know exactly who I'm fucking with. <i> You're just a Londoner who thinks he's a big man. </i> But let me tell you something.	fucking	1	4629499	1220	UK	2012			
They're bringing the fucking tear gas out.	- Hey, fuck you, you cunt, you dickhead! <i> They're bringing the fucking tear gas out. </i> You wanna go for a drink?	fucking	2	4629499	45	UK	2012	implying a variety of negatives, e.g. vile, despicable, unpleasant, corrupt, dirty.	https://greensdictofslang.com/entry/x57x77i	bad
What happened to my tea Phil?	What you know about what I fucking want? <i> What happened to my tea Phil? </i> Sorry mate, I'm such a cunt I completely forgot.	fucking	1	5151994	699	UK	2008			
He had this fucking big shank, man.	Fucking, just gave him a couple of slaps, that's all, man. <i> He had this fucking big shank, man. </i> He was mad.	fucking	1	4177060	632	UK	2009			
You get your fucking hands off him!	... may be given in evidence. <i> You get your fucking hands off him! </i> He ain't done nothing.	fucking	1	4177060	262	UK	2009			
- Oh, fuck off you benders!	- Don't turn around, just walk. <i> - Oh, fuck off you benders! </i> I'm going to ask you some questions.	fuck off	2	4398890	382	UK	2011	an offensive term to tell someone to go away	https://www.urbandictionary.com/define.php?term=fuck%20off	go away
I'm fucking sick of this.	No one's ever fucked with me like that, you get me? <i> I'm fucking sick of this. </i> I've been stuck in here for fucking hours now.	fucking	3	4177060	350	UK	2009			
- I might just pop off to the toilet.	- You shouldn't. <i> - I might just pop off to the toilet. </i> - Okay.	pop off	1	6237485	997	UK	2014			
Go in there and put a fuckin' bullet in his head, or am I gonna have to fuckin' put one in you?	Yeah? <i> Go in there and put a fuckin' bullet in his head, or am I gonna have to fuckin' put one in you? </i> That hurts.	fuckin'	2	6010762	1037	UK	2012			
Am I gonna get four grand back off Ed?	You walk in with Ed. <i> Am I gonna get four grand back off Ed? </i> - I don't think so, do you?	gonna	3	6010762	2237	UK	2012			
Run' em out of town.	I'm gonna flush' em out. <i> Run' em out of town. </i> - Run' em out of town?	'em	1	4471635	124	UK	2010			
colour why the fuck did you run away?	- allright i love the countryside it's nice, ain't it? <i> colour why the fuck did you run away? </i> 'cause living at home was shit my mom's died this year, and my dad was a bastard he beat me, he was always pissed the other week i nicked his fags, and he kicked me in the ribs	why the fuck	1	3121411	97	UK	2006			
Money like that could go a long way to helping out a couple of amigos.	I'm guessing Eddie must have at least 250 large stashed at his place. <i> Money like that could go a long way to helping out a couple of amigos. </i> I'm thinking a nice even split, 200 for me, 50 for you.	amigos	1	4527521	386	UK	2012			
You keep this up and I'm a pop you right here, you understand?	I got a girl, no messing. <i> You keep this up and I'm a pop you right here, you understand? </i> Oh, you ain't gonna kill me, Jermaine, come on.	i'm a pop	1	4527521	211	UK	2012			
I'm gonna be the man who gets drunk next to you	Well, I know I'm gonna be <i> I'm gonna be the man who gets drunk next to you </i> And if I haver	gonna	2	4107485	1194	UK	2010			
I'll go and get it and them, then I'll come back and get you, yeah?	You're one lazy cow, do you know that? <i> I'll go and get it and them, then I'll come back and get you, yeah? </i> - Yeah.	yeah	1	3345059	286	UK	2008			
You're gonna forget about a man over a girl.	That's what it's about now, yeah? <i> You're gonna forget about a man over a girl. </i> You fucking pussy.	fucking	1	3345059	1358	UK	2008			
Yeah, he tried to come over last night, but I wasn't having that.	Have you seen him? <i> Yeah, he tried to come over last night, but I wasn't having that. </i> So where he went?	having	1	3468388	345	US	2007			
Dirty redneck ain't been up here, man.	Mason? <i> Dirty redneck ain't been up here, man. </i> What y'all want with him?	dirty	1	3468388	133	US	2007			
You know how sick the guy across the way is...	Let me close the blinds. <i> You know how sick the guy across the way is... </i> I know.	sick	1	5697912	979	US	2012			
I'm gonna smoke with Bonnie.	Jenny, I gotta go. <i> I'm gonna smoke with Bonnie. </i> But come over soon and bring Mark.	gotta	1	3468388	766	US	2007			
I just got home, man.	Yeah, let's roll. <i> I just got home, man. </i> Even better.	home	1	3468388	110	US	2007			
I broke my fucking hand.	What the fuck happened to you? <i> I broke my fucking hand. </i> - How?	fucking	1	3468388	444	US	2007			
I'm gonna cut his motherfucking dick off, you heard me?	And if you see him, tell him to come around here one more time. <i> I'm gonna cut his motherfucking dick off, you heard me? </i> - Damn!	gonna	1	3468388	332	US	2007			
Yo, don't kill that, man.	I can't even remember, man. <i> Yo, don't kill that, man. </i> Yeah, he don't remember'cause he got his head beat in.	yo	2	3468388	93	US	2007			
♪ So why don't you just fade away ♪	♪ Down South of Babylon <i> ♪ So why don't you just fade away ♪ </i> WOMAN:	fade away	1	5536320	1471	US	2014			
My dad said if he ever caught someone going in there, they'd be dead meat.	I won't tell. <i> My dad said if he ever caught someone going in there, they'd be dead meat. </i> So I won't tell on you.	dead meat	2	3877824	405	US	2009			
For being such a jerk to you when you woke up today.	You know what I mean? <i> For being such a jerk to you when you woke up today. </i> I saw you looking at it.	jerk	2	3877824	394	US	2009			
You should kill the headlights.	It's over here. <i> You should kill the headlights. </i> Are you sure you want to do this?	kill the headlights	1	5838045	203	US	2014			
I move away for one year and because you're scared of what's gonna happen, you immediately resort to breaking up?	So, uh... <i> I move away for one year and because you're scared of what's gonna happen, you immediately resort to breaking up? </i> I'm just saying...	gonna	1	5838045	169	US	2014			
People are shit bad at keeping promises.	Do not promise anything. <i> People are shit bad at keeping promises. </i> People do not care.	shit bad	2	5178727	1195	US	2010			
If I fuck it, I can wave goodbye to the trust fund and goodbye to the university.	- I will bring mathematical proof I can walk on water. <i> If I fuck it, I can wave goodbye to the trust fund and goodbye to the university. </i> - Now you need to pull yourself together.	wave goodbye	1	5178727	1219	US	2010			
I've just been in a very bad mood for 40 years.	I'm not crazy. <i> I've just been in a very bad mood for 40 years. </i> OWEN:	i'm not crazy	1	5653079	1012	US	2012			
So if Owen's busy, I guess I'll just catch him later	I just don't. <i> So if Owen's busy, I guess I'll just catch him later </i> Because I wanted to give him this tape.	catch him later	1	6406429	1351	US	2001			
You smoke my dope and then bail?	""" I just want to go home."" <i> You smoke my dope and then bail? </i> Dan, why you messing with her head?"	dope	2	6406429	751	US	2001	saying something is cool. most heard in big cities. or, a drug. (ex. cocane/mary j/ dope)	https://www.urbandictionary.com/define.php?term=Dope	cool
Oh, God, I'm gonna be sick.	Yeah, I think I'm gonna need stitches. <i> Oh, God, I'm gonna be sick. </i> Yeah, you got any peroxide or anything?	gonna	2	5340423	2008	US	2013	the urban slang for 'going to	https://www.urbandictionary.com/define.php?term=gonna	going to
He's got his dead buddy in the basement.	There's a lot a hard evidence against this asshole. <i> He's got his dead buddy in the basement. </i> Not to mention the van in the garage.	buddy	3	6801883	1559	US	2014	a word insecure men use to quickly establish dominance	https://www.urbandictionary.com/define.php?term=buddy	friend
I'm not in the fucking mood, man.	I asked you if we have enough clean kegs for the bright tank. <i> I'm not in the fucking mood, man. </i> Everything's off.	fucking	1	5340423	1508	US	2013			
Next time I'll break your head.	You broke my tooth, you damn moron. <i> Next time I'll break your head. </i> You burn the truck, you burn the money, you idiot.	break	1	6377252	726	US	2009			
Ok, I serve my fuckin' country in Iraq and Afghanistan.	You really want to do this? <i> Ok, I serve my fuckin' country in Iraq and Afghanistan. </i> No, we're not talking about the war, OK.	fuckin	1	4953583	198	US	2013			
orita tried to execute her life twice, man.	That se? <i> orita tried to execute her life twice, man. </i> She slit both her wrists.	thats great	1	3546395	651	US	2009			
We'll ride this thing out.	This is my boat. <i> We'll ride this thing out. </i> Not for fun, for safety.	ride	1	3372842	710	US	2000			
- If they come inside you, does it burn?	There is some indication of increased lubrication. <i> - If they come inside you, does it burn? </i> - No.	come	1	4109374	1530	US	2010			
It's gonna take about a minute for the acid to dissipate and your natural morphine to kick in.	It's not gonna help. <i> It's gonna take about a minute for the acid to dissipate and your natural morphine to kick in. </i> - You know why I hit you?	kick	1	4109374	842	US	2010			
I just heard the vic, Simon Campbell, has regained consciousness up at Covenant Hospital, so I'm gonna head over there and question him, all right?	I'm just waiting on the DNA report from Forensics, see if we can get anything on the blood. <i> I just heard the vic, Simon Campbell, has regained consciousness up at Covenant Hospital, so I'm gonna head over there and question him, all right? </i> And let me know if anything clicks with our piano man.	vic	1	4218973	522	US	2011			
You got a uniboob, your posture sucks, and your clothes fit weird because you wear the wrong size bra.	- Real talk? <i> You got a uniboob, your posture sucks, and your clothes fit weird because you wear the wrong size bra. </i> Boom, real talk.	uniboob	2	6185084	643	US	2015			
I think there's some shit you should check a look at.	Come on, JTRO. <i> I think there's some shit you should check a look at. </i> What is all this?	shit	1	4574956	310	US	2011			
They raffle off the right to carry my books to class:	They pay hundreds of dollars-- 3 20 to be exact-- just to get my number: <i> They raffle off the right to carry my books to class: </i> [ Chuckling] It's so silly:	raffle	1	186160	613	US	2004			
You think you're a winner because up your bomb diggity butt?	Excuse me? <i> You think you're a winner because up your bomb diggity butt? </i> Excuse me?	winner	1	186160	893	US	2004			
Get the fuck in here and calm your kid down!	And besides, how the fuck am I supposed to stand up for myself when I ain't got no one to stand up for me? <i> Get the fuck in here and calm your kid down! </i> I'm coming!	fuck	2	4574956	894	US	2011			
I'm not doing anything illegal any more, so get the fuck off my phone, stop harassing me.	I wouldn't want you to run out. <i> I'm not doing anything illegal any more, so get the fuck off my phone, stop harassing me. </i> It's all right, fella.	fuck off	1	4629499	1065	UK	2012			
You run the firm, mate.	What, Scotty Robinson? <i> You run the firm, mate. </i> You're a fucking legend.	fucking	1	4629499	874	UK	2012			
These youngers think Jones is such a bad man... all' cause he murdered Errol Cox for the Estate.	Yeah. <i> These youngers think Jones is such a bad man... all' cause he murdered Errol Cox for the Estate. </i> And Errol was a fucking psycho, you get me?	'cause	1	4398890	152	UK	2011			
Tall, dark and mysterious or just plain loaded?	Exactly what she looks for in a man. <i> Tall, dark and mysterious or just plain loaded? </i> I'm not telling you.	loaded	1	4177060	62	UK	2009			
Oh, God, it's gonna stay in my head for the whole day now.	I love this song. <i> Oh, God, it's gonna stay in my head for the whole day now. </i> Shooting star?	gonna	2	6997754	312	UK	2012			
Just as long as you have a fucking great time, you know, fucking get wasted.	- Come on, Ash. <i> Just as long as you have a fucking great time, you know, fucking get wasted. </i> You don't give a shit about anything, do you?	fucking	3	6997754	414	UK	2012			
I've dreamed about being here my whole life, man.	- Cool, <i> I've dreamed about being here my whole life, man. </i> I can't actually believe I'm here.	man	1	4683078	306	UK	2012			
Whether you're prejudiced or not Man, he's just a kid	♪ With a razor blade Yeah, it takes the piss <i> Whether you're prejudiced or not Man, he's just a kid </i> ♪ But that's what Trevor done No one ever saw him after that	kid	2	6010762	155	UK	2012			
Does it look like a man's blotting over here?	- I want some weed. <i> Does it look like a man's blotting over here? </i> Come on, man.	blotting	1	6010762	529	UK	2012			
they've come down a long way they're good friends of mine	yeah right good, so get in there and fuck'em for me <i> they've come down a long way they're good friends of mine </i> you're beautiful, you are, you know that?	fuck'em	1	3121411	80	UK	2006			
find those two girls, and if i don't hear from you by this time tomorrow, you're a fucking dead man	no- get it off him <i> find those two girls, and if i don't hear from you by this time tomorrow, you're a fucking dead man </i> get out	fucking	1	3121411	142	UK	2006			
They cut my fucking leg off yeah i am outside the jamo?	Chum, come and pick me up <i> They cut my fucking leg off yeah i am outside the jamo? </i> get Kelly on the fucking phone find out where the fuck they are, they... or something, i don't know just get a fucking move on	fucking	2	3121411	146	UK	2006			
WHAT, THEN YOU'RE GONNA KILL HIM?	WHAT? <i> WHAT, THEN YOU'RE GONNA KILL HIM? </i> Laura:	gonna	2	5837569	758	UK	2002			
I hit him back once but I landed off the worst for it.	I don't think that makes a difference. <i> I hit him back once but I landed off the worst for it. </i> - You frightened of losing the baby?	landed off	1	4136037	959	UK	2010			
I'm gonna be the man who's coming home with you	I'm gonna be the man who's comes back home with you <i> I'm gonna be the man who's coming home with you </i> But I would walk 500 miles	gonna	2	4107485	1230	UK	2010			
I'm gonna kill you, blood!	I'll kill you, blood. <i> I'm gonna kill you, blood! </i> You think that's faster than this, blood?	gonna	2	3345059	1673	UK	2008			
- She left her phone when she fucked off.	- Where'd you get my number from? <i> - She left her phone when she fucked off. </i> - So what you up to these days?	fucked	2	3345059	795	UK	2008			
You think you're a bad man, Jay?	Six and a half years and that's what you still want. <i> You think you're a bad man, Jay? </i> I thought I was a fucking bad man, remember that?	fucking	1	3345059	1707	UK	2008			
- is with his right hand, man.	The only pussy this fool gets <i> - is with his right hand, man. </i> - Yo, I got some poon last night.	with his right hand	1	3468388	69	US	2007			
- I'm running really late for work.	I need to talk to you for a second. <i> - I'm running really late for work. </i> - This will only take a second.	running	2	5697912	325	US	2012			
And he's got' em shook too,'cause Roc don't back down from nobody.	Anyone in the game on the East side knows he's got that product. <i> And he's got' em shook too,'cause Roc don't back down from nobody. </i> Fuck.	shook	1	5536320	316	US	2014			
Beat her up and shit.	He raped her! <i> Beat her up and shit. </i> What we gonna do?	shit	1	3468388	242	US	2007			
Kid can kick up some fuckin' dust.	To Jamesy Boy. <i> Kid can kick up some fuckin' dust. </i> I gotta take a piss.	kick up some fuckin' dust	1	5536320	532	US	2014			
Hey, if you need something, hit me up.	No, I'm good. <i> Hey, if you need something, hit me up. </i> I'll be at the crib all night.	hit me up	2	3468388	672	US	2007			
You really thought you was gonna come in here and take our shit?	Huh? <i> You really thought you was gonna come in here and take our shit? </i> Ow!	shit	2	5536320	489	US	2014			
So I started trying to learn how to ride and my mom found out I was hanging out down there and she hit the roof.	We just had this dream of riding our bikes all over the world, digging wells in remote villages. <i> So I started trying to learn how to ride and my mom found out I was hanging out down there and she hit the roof. </i> Crazy, right?	hit the roof	2	5697912	833	US	2012			
That's way off base, Frank.	- Maybe Mom's better. <i> That's way off base, Frank. </i> That's way off base.	base	1	241730	67	US	2005			
- It's part of the game.	- Walt, watch out. <i> - It's part of the game. </i> Fifteen-love.	game	1	241730	22	US	2005			
Linda teeth maybe a large vocabulary but I do not light it.	Did you hit it? <i> Linda teeth maybe a large vocabulary but I do not light it. </i> What are you?	teeth	1	5178727	362	US	2010			
If you do not call off your goons,	You listen to me, you motherfucker. <i> If you do not call off your goons, </i> I will make 1,000 copies of that video and I will send one to every newspaper, every television station in the world.	goons	3	6692456	1115	US	2016			
Those doctors, they take out those six packs, and they throw in some dry ice and a heart, and off they go.	I saw it on the news. <i> Those doctors, they take out those six packs, and they throw in some dry ice and a heart, and off they go. </i> Well, do you know how long you have to wait?	six packs	1	5653079	1321	US	2012			
We'll make a man of you yet.	Come on. <i> We'll make a man of you yet. </i> Maybe she'd like to hear some music.	make a man of you	2	6406429	1400	US	2001			
- Come on, baby, cum... cum...	Oh! <i> - Come on, baby, cum... cum... </i> Mm-hm!	cum	3	5450161	576	US	2013			
Nah, she's hot, but it's not a dime.	- That is a dime. <i> Nah, she's hot, but it's not a dime. </i> I don't even mess with blondes like that, but that there is a dime!	dime	1	5450161	88	US	2013			
She keep her shit tight, you can tell.	Definitely not. <i> She keep her shit tight, you can tell. </i> - No.	shit	1	5450161	95	US	2013			
Cat's out of the bag now.	But then what? <i> Cat's out of the bag now. </i> This changes everything.	cat's out of the bag	2	6377252	662	US	2009			
- And then you people come down on us.	We get to see that the girl's all right. <i> - And then you people come down on us. </i> - You'll have the girl covered.	come down on	1	6801883	1360	US	2014			
Want to come with your daddy?	Yeah, I'm working. <i> Want to come with your daddy? </i> Shoot some pool?	daddy	1	3372842	150	US	2000			
Any asshole can pull a gun on somebody!	You lazy, half-ass bully! <i> Any asshole can pull a gun on somebody! </i> You don't know the fîrst thing about stealing a car!	asshole	1	135737	1377	US	2000			
It's not gonna happen, man.	He's not gonna do it. <i> It's not gonna happen, man. </i> Come on, dog.	gonna	1	135737	1579	US	2000			
Can we just cool it for a second?	- Can we just...? <i> Can we just cool it for a second? </i> Okay, here's my offer.	cool it	2	6185084	573	US	2015			
I mean, he's kind of hot, but he's not God's gift.	- No, no. <i> I mean, he's kind of hot, but he's not God's gift. </i> No.	gift	1	4218973	12	US	2011			
I used to run up here a lot with Pepper, and she would always make a direct beeline to this rock.	How'd you find this place? <i> I used to run up here a lot with Pepper, and she would always make a direct beeline to this rock. </i> I remember Pepper.	beeline	1	6185084	1401	US	2015			
It's a doozy, but it's a real feather in the cap for any reporter worth their salt that wants to comment on the social life of this school.	Okay, next up, final assignment, all right? <i> It's a doozy, but it's a real feather in the cap for any reporter worth their salt that wants to comment on the social life of this school. </i> Anyone?	feather in the cap	1	6185084	98	US	2015			
It'll chill your shit out.	Have a drink. <i> It'll chill your shit out. </i> What the fuck is this?	chill	2	4574956	736	US	2011			
It'll be a thrill to work with the new: bomb diggity:	You're our new varsity cheerleading squad: <i> It'll be a thrill to work with the new: bomb diggity: </i> Now if you'll excuse me, ladies, I have a lunch date:	bomb diggity	2	186160	1903	US	2004			
Shit goes south, drops like it's hot...	Beliee' dat! <i> Shit goes south, drops like it's hot... </i> This way we can back the 248 the fuck up.	shit	1	4574956	845	US	2011			
Like summat off a pantomime, d'you know what I mean?	""" You don't look like rock stars, you look like dicks in tights."" <i> Like summat off a pantomime, d'you know what I mean? </i> It was time for some real lads to get up there and take charge."	summat	1	4030209	262	UK	2003			
And you, Dark, are a shrink.	Aren't you? <i> And you, Dark, are a shrink. </i> Psychologist or psychiatrist?	shrink	2	4938516	331	UK	2009	a psychoanalyst, a psychiatrist.	https://greensdictofslang.com/entry/pqswwsq	psychiatrist
Drop the cash with him, and his mate back in the UK gives you the same amount minus his 10% fee.	On jobs abroad, Eddie always used a local money mover. <i> Drop the cash with him, and his mate back in the UK gives you the same amount minus his 10% fee. </i> It may be a little costly, but it was worth the price to keep things flowing.	drop the cash	1	4629499	600	UK	2012			
- Come on, you fucking mug!	- Oi, Mike. <i> - Come on, you fucking mug! </i> - Dickhead!	fucking mug	2	4629499	36	UK	2012			
And I'm about to do a Webcast slagging it all off.	Can you imagine what Jen would say? <i> And I'm about to do a Webcast slagging it all off. </i> [ Stammering] But... but none of us are novelists.	slagging	1	7039857	397	UK	2016			
Just wish I was a bit older to put a bet on.	Wimbledon. <i> Just wish I was a bit older to put a bet on. </i> Fuck the Scousers, eh?	fuck	1	4629499	914	UK	2012			
I thought you'd be off getting yourself rubbed up the right way, whenever you got the chance.	It's nice having a visitor. <i> I thought you'd be off getting yourself rubbed up the right way, whenever you got the chance. </i> Well, to be honest.	rubbed up	1	6910409	394	UK	2014			
- Would you like a cup o' tea mate?	For sure there mate! <i> - Would you like a cup o' tea mate? </i> - Thanks Mickey, love one.	o'	2	5151994	109	UK	2008	"short for ""of""."	https://www.urbandictionary.com/define.php?term=o%27	of
Hey, you know you're the first bloke I've sent in... who she didn't tell, to fuck off?	That's perfect cover. <i> Hey, you know you're the first bloke I've sent in... who she didn't tell, to fuck off? </i> Good job.	fuck off	1	4398890	339	UK	2011			
Now that's what I calla dead parrot.	Polly! <i> Now that's what I calla dead parrot. </i> I love this.	calla	2	6237485	1130	UK	2014			
And I swear if I put a cup of tea on the sideboard, you'd see the same ripples in my tea.	And it was like boom, boom, boom, boom. <i> And I swear if I put a cup of tea on the sideboard, you'd see the same ripples in my tea. </i> So I called her the Tyrannosaur.	boom	1	4987950	906	UK	2011			
Which he must have nicked when he tried to plant the table in my head.	With my pen. <i> Which he must have nicked when he tried to plant the table in my head. </i> Oh, actually, it's not my pen.	nicked	1	5052284	577	UK	2002			
- I told you, she ain't here, man, stop this...	- Tara! <i> - I told you, she ain't here, man, stop this... </i> You know what?	ain't	2	4683078	808	UK	2012			
Why doesn't he just blow his brains out?	He'd just murdered his wife and children. <i> Why doesn't he just blow his brains out? </i> We've got four anomalies- or is it five?	blow	1	5052284	1040	UK	2002			
Lisa, what did you say, man?	What! <i> Lisa, what did you say, man? </i> Once again, we have a capacity crowd here at the World Championships for what promises to be a fantastic final for the women's 4 X 100 metres...	man	2	4683078	1544	UK	2012			
♪ Don't come round here no more You could get robbed for	♪ We're poor round here Run home and lock your door <i> ♪ Don't come round here no more You could get robbed for </i> ♪ Real, yeah, because my manors ill	no more	1	6010762	2504	UK	2012			
Don Barber is not long for this fucking life, okay?	All you gotta do is wait for him to get released, and we'll have a big fucking party, okay? <i> Don Barber is not long for this fucking life, okay? </i> I can assure you that.	fucking	2	4471635	919	UK	2010			
Please, you do come back.-Yeah,	Stay there, don't open the toilet to anyone. <i> Please, you do come back.-Yeah, </i> I promise, I will.	yeah	1	3121411	11	UK	2006			
- I wanna see the sea huh, come on then	What for? <i> - I wanna see the sea huh, come on then </i> who's that?	wanna	1	3121411	151	UK	2006			
fucking rip-off, look the claws are all loose could've bloody bought 2 by now yeah, you've got to win it, ain't you?	.....- yeah, we need money for the train can we to the Arcade, i wanna get this toy right, for a bit <i> fucking rip-off, look the claws are all loose could've bloody bought 2 by now yeah, you've got to win it, ain't you? </i> well hurry up then that's it go on shit well- go on, go again	fucking	2	3121411	450	UK	2006			
So you're gonna come upstairs with me?	Joanne <i> So you're gonna come upstairs with me? </i> Now?	gonna	2	3121411	534	UK	2006			
Nobody wants his fucking head on a plate more than me!	I've fucking had enough. <i> Nobody wants his fucking head on a plate more than me! </i> And I'm gonna do it myself.	fucking	2	4471635	912	UK	2010			
And if you ever come back, I'll do you!	So you and your sort, you stay away from me, you hear? <i> And if you ever come back, I'll do you! </i> And you wanted the best for her.	do you	1	5461631	972	UK	2003			
that killed our best friend... just come out of jail, innit?	This guy... <i> that killed our best friend... just come out of jail, innit? </i> - And I want us to go get him back.	innit	2	3345059	1151	UK	2008			
I'm not going jail for no one to call me Abigail, call me some next man's chick.	I'm not going jail for you. <i> I'm not going jail for no one to call me Abigail, call me some next man's chick. </i> Burn that, man.	chick	2	3345059	771	UK	2008	a term to address a young woman		woman
Let me call Henry, man.	When Dabs called, I just left her- legs up, gash out, everyting. <i> Let me call Henry, man. </i> Fuck this.	man	1	3345059	935	UK	2008			
He's asleep, just like I was before you came knocking on my door, man.	Where's your brother? <i> He's asleep, just like I was before you came knocking on my door, man. </i> I can't believe this motherfucker raped her, man.	man	1	3468388	230	US	2007			
Come up in here wanting a gun	Some evil motherfuckers wake up one day and decide they're just gonna take out a whole section of the human race. <i> Come up in here wanting a gun </i> Shit!	wanting a gun	1	3468388	405	US	2007			
You piss a man off, he will get even!	Learn early. <i> You piss a man off, he will get even! </i> Don't you talk to my kid!	piss	1	5697912	281	US	2012			
Check him-- oh, hey, yo.	Check him out. <i> Check him-- oh, hey, yo. </i> Hey, yo!	yo	1	5536320	1302	US	2014			
I just didn't know my big tough gangster had a soft and chewy centre.	Hey. <i> I just didn't know my big tough gangster had a soft and chewy centre. </i> What?	gangster	2	5536320	753	US	2014			
Go home and sleep it off.	You are drunk. <i> Go home and sleep it off. </i> No, no, Mother.	sleep it off	2	5697912	1757	US	2012			
Let's get the fuck up out of here, man.	Give him... <i> Let's get the fuck up out of here, man. </i> Damn!	give him	1	3468388	439	US	2007			
If by some stroke of pure luck you manage to kill me, then I won't give a fuck about that either.	I don't give a fuck about the people I've killed. <i> If by some stroke of pure luck you manage to kill me, then I won't give a fuck about that either. </i> That was quite a speech.	give a fuck	1	5891414	594	US	2014			
- Wanna bet your life on that?	Target is male, Caucasian, 35 to 40. <i> - Wanna bet your life on that? </i> - No.	wanna	1	5891414	41	US	2014			
I don't know if he's too in your head, and maybe you're mad because you never had a daddy,	Yes, to him. <i> I don't know if he's too in your head, and maybe you're mad because you never had a daddy, </i> I don't know, and frankly I don't care.	never had a daddy	1	5891414	600	US	2014			
When our car broke down, we kind of got lost.	And where are we exactly? <i> When our car broke down, we kind of got lost. </i> That's okay.	broke down	1	5838045	590	US	2014			
You're a hot artist in New York surrounded by groupies and rævslikkere.	Until then, you're an old guy in the 20s. <i> You're a hot artist in New York surrounded by groupies and rævslikkere. </i> But it will not be enough for you.	groupies	1	5178727	1387	US	2010			
Not by a long shot.	Not yet, we haven't. <i> Not by a long shot. </i> You see, there's a loophole.	long shot	1	6249260	383	US	2014			
He ​ ​ has some sick ideas about girls.	I'm sorry. <i> He ​ ​ has some sick ideas about girls. </i> - Women, Aaron.	sick	2	5178727	316	US	2010			
Annelle, come meet Clairee Belcher, first lady of Chinquapin.	If you can type, you can achieve a past. <i> Annelle, come meet Clairee Belcher, first lady of Chinquapin. </i> Former first lady.	come	1	5653079	177	US	2012			
He just looked so cool, you know.	There was this album cover where he had that leather jacket on. <i> He just looked so cool, you know. </i> My dad used to sing that song to me,	cool	2	6406429	843	US	2001			
Oh, no, can't get his belt off!	- Jesus. <i> Oh, no, can't get his belt off! </i> You should have seen the look on your face.	get his belt off	1	6377252	120	US	2009			
Well, he crashed a party on some bad guys moving' a half ton of coke.	Why? <i> Well, he crashed a party on some bad guys moving' a half ton of coke. </i> He took home the Medal of Valor.	movin'	1	4953583	947	US	2013			
I'm all busted up, cap.	Hey, talk to me, J. Talk to me. <i> I'm all busted up, cap. </i> Can't breathe.	busted up	2	3372842	1241	US	2000			
I'll fucking kill you, you piece of shit!	You owe me commission on$ 54,000 worth of second-rate, knock-off, gray-market, off-brand, overpriced equipment, you son of a bitch. <i> I'll fucking kill you, you piece of shit! </i> You know what?	fucking	1	4109374	107	US	2010			
Your little animals, grab the coin and run for the door.	may there's a nickel in it but... you eat the apple! <i> Your little animals, grab the coin and run for the door. </i> - They're off to by crack.	animals	1	145382	790	US	2000			
